Entity,Code,Year,hypertension_women,hypertension_men,gender_gap_men_minus_women
Germany,DEU,2000,34.9,45.5,10.600000000000001
Germany,DEU,2001,34.3,44.9,10.600000000000001
Germany,DEU,2002,33.7,44.3,10.599999999999994
Germany,DEU,2003,33.1,43.8,10.699999999999996
Germany,DEU,2004,32.5,43.2,10.700000000000003
Germany,DEU,2005,31.9,42.7,10.800000000000004
Germany,DEU,2006,31.4,42.1,10.700000000000003
Germany,DEU,2007,30.8,41.6,10.8
Germany,DEU,2008,30.3,41.0,10.7
Germany,DEU,2009,29.8,40.5,10.7
Germany,DEU,2010,29.3,39.9,10.599999999999998
Germany,DEU,2011,28.7,39.3,10.599999999999998
Germany,DEU,2012,28.2,38.6,10.400000000000002
Germany,DEU,2013,27.7,38.0,10.3
Germany,DEU,2014,27.2,37.3,10.099999999999998
Germany,DEU,2015,26.7,36.7,10.000000000000004
Germany,DEU,2016,26.2,36.1,9.900000000000002
Germany,DEU,2017,25.8,35.5,9.7
Germany,DEU,2018,25.4,34.9,9.5
Germany,DEU,2019,25.0,34.4,9.399999999999999
