Entity,Code,Year,hypertension_prevalence,hypertensive_heart_disease_death_rate
Germany,DEU,2000,40.2,7.5795164
Germany,DEU,2001,39.6,7.771165
Germany,DEU,2002,39.0,8.414979
Germany,DEU,2003,38.5,9.315402
Germany,DEU,2004,37.9,9.4464035
Germany,DEU,2005,37.4,9.736816
Germany,DEU,2006,36.8,9.697755
Germany,DEU,2007,36.2,9.766206
Germany,DEU,2008,35.7,9.787082
Germany,DEU,2009,35.2,9.82987
Germany,DEU,2010,34.6,10.036583
Germany,DEU,2011,34.0,10.100017
Germany,DEU,2012,33.4,10.60781
Germany,DEU,2013,32.8,11.852793
Germany,DEU,2014,32.2,10.951002
Germany,DEU,2015,31.7,12.034011
Germany,DEU,2016,31.2,11.411768
Germany,DEU,2017,30.7,11.792015
Germany,DEU,2018,30.2,11.554943
Germany,DEU,2019,29.7,11.219283
