Entity,Code,Year,hypertension_prevalence,hypertension_women,hypertension_men,gender_gap_men_minus_women,hypertensive_heart_disease_death_rate
Germany,DEU,2000,40.2,34.9,45.5,10.600000000000001,7.5795164
Germany,DEU,2001,39.6,34.3,44.9,10.600000000000001,7.771165
Germany,DEU,2002,39.0,33.7,44.3,10.599999999999994,8.414979
Germany,DEU,2003,38.5,33.1,43.8,10.699999999999996,9.315402
Germany,DEU,2004,37.9,32.5,43.2,10.700000000000003,9.4464035
Germany,DEU,2005,37.4,31.9,42.7,10.800000000000004,9.736816
Germany,DEU,2006,36.8,31.4,42.1,10.700000000000003,9.697755
Germany,DEU,2007,36.2,30.8,41.6,10.8,9.766206
Germany,DEU,2008,35.7,30.3,41.0,10.7,9.787082
Germany,DEU,2009,35.2,29.8,40.5,10.7,9.82987
Germany,DEU,2010,34.6,29.3,39.9,10.599999999999998,10.036583
Germany,DEU,2011,34.0,28.7,39.3,10.599999999999998,10.100017
Germany,DEU,2012,33.4,28.2,38.6,10.400000000000002,10.60781
Germany,DEU,2013,32.8,27.7,38.0,10.3,11.852793
Germany,DEU,2014,32.2,27.2,37.3,10.099999999999998,10.951002
Germany,DEU,2015,31.7,26.7,36.7,10.000000000000004,12.034011
Germany,DEU,2016,31.2,26.2,36.1,9.900000000000002,11.411768
Germany,DEU,2017,30.7,25.8,35.5,9.7,11.792015
Germany,DEU,2018,30.2,25.4,34.9,9.5,11.554943
Germany,DEU,2019,29.7,25.0,34.4,9.399999999999999,11.219283
